address,latlng,name,storeType
台南市安平區華平路559號1樓,"22.994895,120.1755807",台南_華平(特約服務中心),特約
台南市安南區海佃路一段244號1樓,"23.0263341,120.1913164",台南海佃(服務中心),直營
台南市安南區安和路五段122號,"23.0654796,120.21840369999995",台南安和(服務中心),直營
台南市安南區安中路一段721號,"23.0439962,120.1939837",安南安中(服務中心),直營
台南市安南區安和路一段277號,"23.032136,120.2125427",台南安和二(服務中心),直營
台南市永康區中山南路75號,"23.0125812,120.22770660000003",永康中山(服務中心),直營
台南市永康區大灣路824號,"23.0001579,120.2581116",永康大灣(服務中心),直營
台南市永康區中華路146號,"23.003277,120.23551299999997",永康中華(服務中心),直營
台南市永康區中山南路1006號1樓,"23.0250744,120.2549441",永康農會(服務中心),直營
台南市永康區復國一路332-1號,"23.0107048,120.2464816",永康復國(服務中心),直營
台南市永康區大灣路274號1樓,"23.00766,120.267818",永康_大灣廟(特約服務中心),特約
台南市永康區中正北路80號1樓,"23.0415322,120.2409899",永康_中正北(特約服務中心)3,特約
台南市永康區永大路二段大安街488號,"23.0139318,120.26385729999993",永康_永大(特約服務中心),特約
台南市歸仁區中山路一段564號,"22.9667394,120.29471239999998",歸仁中山(服務中心),直營
台南市仁德區中山路475號,"22.9713292,120.2547329",台南仁德(服務中心),直營
台南市仁德區中山路560號,"22.9715715,120.2524176",仁德_中山(特約服務中心),特約
台南市麻豆區中山路163號,"23.1838597,120.2433873",麻豆中山(服務中心),直營
台南市佳里區延平路241號1樓,"23.160006,120.17834300000004",佳里_延平(特約服務中心)2,特約
台南市佳里區延平路4號,"23.1537241,120.1796198",佳里_延平二(特約服務中心),特約
台南市新營區民治路338號1樓,"23.306036,120.30326400000001",新營民治(服務中心),直營
台南市新營區中山路185號1樓,"23.3034315,120.3152734",新營_中山(特約服務中心)3,特約
台南市善化區中山路226之1號,"23.185220, 120.241501",善化_中山(特約服務中心)3,特約
高雄市新興區新田路179號,"22.6219664,120.3027402",高雄新田(服務中心),直營
高雄市新興區林森一路245之1號1樓,"22.6349926,120.3049606",高雄_林森二(特約服務中心),特約
高雄市新興區林森一路190號,"22.6317762,120.30478100000005",高雄_林森(特約服務中心)3,特約
台南市新市區中正路321之2號1樓,"23.079721,120.294094",新市_中正(特約服務中心),特約
高雄市前金區中華三路216號,"22.6313456,120.29528970000001",高雄中華(服務中心),直營
高雄市苓雅區廣州一街157號,"22.627414,120.31576159999997",高雄文化中心(服務中心),直營
高雄市苓雅區武廟路118-7號,"22.6308255,120.3292411",高雄武廟(服務中心),直營
高雄市苓雅區三多一路271號,"22.6220547,120.3296595",苓雅三多(服務中心),直營
高雄市苓雅區四維二路255號1樓,"22.6216391,120.3169769",高雄_四維二(特約服務中心),特約
高雄市苓雅區成功一路269號1樓,"22.6201725,120.2953113",高雄_成功(特約服務中心)2,特約
高雄市苓雅區三多三路78號1樓,"22.616576,120.311871",高雄_三多二(特約服務中心)2,特約
高雄市鹽埕區五福四路121號1樓,"22.6230324,120.2847939",鹽埕_五福(特約服務中心)2,特約
高雄市鼓山區明誠三路704、706號,"22.6613105,120.29726989999995",高雄明誠(服務中心),直營
高雄市鼓山區裕誠路1107號1樓,"22.6657186,120.29856040000004",高雄_裕誠(特約服務中心),特約
高雄市鼓山區華榮路370號1樓,"22.6679399,120.2957214",高雄_華榮(特約服務中心)2,特約
高雄市前鎮區三多三路179號,"22.6151169,120.3080541",高雄三多(服務中心),直營
高雄市前鎮區草衙二路463號,"22.57994,120.32301400000006",高雄草衙(服務中心),直營
高雄市前鎮區瑞隆路609號,"22.6051173,120.3258145",前鎮瑞隆(服務中心),直營
高雄市前鎮區民權2路351號1樓,"22.610523,120.31280700000002",高雄_民權(特約服務中心),特約
高雄市前鎮區瑞隆路411號,"22.605253,120.330069",高雄_瑞隆(特約服務中心)2,特約
高雄市三民區大順二路722號1樓,"22.653613,120.31917999999996",高雄大順(服務中心),直營
高雄市三民區自由一路109/111號,"22.643871,120.30848100000003",高雄高醫(服務中心),直營
高雄市三民區大昌二路212號,"22.6445922,120.3320669",三民大昌(服務中心),直營
高雄市三民區陽明路103號,"22.6401022,120.3415437",高雄陽明(服務中心),直營
高雄市三民區熱河一街401號,"22.6438739,120.304777",高雄熱河(服務中心),直營
高雄市三民區建工路504號1樓,"22.6509338,120.3265532",三民建工(服務中心),直營
高雄市三民區裕誠路90號,"22.6639843,120.3133798",三民裕誠(服務中心),直營
高雄市三民區建工路726號1樓,"22.648686,120.319974",三民_建工二(特約服務中心),特約
高雄市三民區自立一路240號1樓,"22.6421243,120.2962396",三民_自立(特約服務中心),特約
高雄市三民區建興路178號1樓,"22.6439711,120.3256459",三民_建興(特約服務中心),特約
高雄市三民區大昌二路493號1樓,"22.650807,120.33091739999998",高雄_大昌(特約服務中心),特約
高雄市三民區天祥一路179之3號1樓,"22.667650,120.318480",高雄_天祥(特約服務中心)2,特約
高雄市楠梓區軍校路979巷1號,"22.7120228,120.2917946",楠梓軍校(服務中心),直營
高雄市楠梓區楠梓新路216號,"22.727433,120.325691",高雄_楠梓新(特約服務中心),特約
高雄市楠梓區建楠路6號1樓,"22.727467,120.32937300000003",高雄_建楠(特約服務中心),特約
高雄市楠梓區德賢路271號,"22.7261601,120.303807",高雄_德賢(特約服務中心),特約
高雄市楠梓區後昌路755號,"22.7099505,120.296292",高雄_後昌(特約服務中心)3,特約
高雄市小港區漢民路204號,"22.565194,120.35155399999996",高雄漢民(服務中心),直營
高雄市小港區金府路85號,"22.567681,120.35449300000005",高雄_金府(特約服務中心),特約
高雄市小港區漢民路523號,"22.567016,120.35926900000004",高雄_漢民(特約服務中心),特約
高雄市小港區桂陽路36號1樓,"22.581935,120.357566",小港_桂陽(特約服務中心)2,特約
高雄市左營區自由二路331/333號,"22.664613,120.30814699999996",高雄自由(服務中心),直營
高雄市左營區華夏路1170號,"22.684314,120.30944399999998",高雄華夏(服務中心),直營
高雄市左營區左營大路14-8號1F,"22.6802202,120.2875433",左營大路(服務中心),直營
高雄市左營區榮總路11號,"22.678137,120.321827",高雄榮總(服務中心),直營
高雄市左營區崇德路271號1樓,"22.6756199,120.303628",左營_崇德(特約服務中心),特約
高雄市左營區左營大路276號,"22.685929,120.29081300000007",高雄_左營(特約服務中心),特約
高雄市左營區華夏路665號1樓,"22.677583,120.30159730000003",高雄_華夏二(特約服務中心),特約
高雄市仁武區仁雄路143號,"22.6763985,120.33983850000004",仁武仁雄(服務中心),直營
高雄市仁武區仁雄路13之11號1樓,"22.681092,120.3542609",仁武_八卦寮(特約服務中心)3,特約
高雄市大社區中山路373號,"22.731371,120.351999",大社_中山(特約服務中心)2,特約
高雄市岡山區岡山路392號,"22.7949525,120.295842",岡山_岡山(特約服務中心),特約
高雄市岡山區仁壽路21號1樓,"22.7929983,120.2876739",岡山_仁壽(特約服務中心),特約
高雄市岡山區壽天路67號1樓,"22.7958508,120.2921782",岡山_壽天(特約服務中心)2,特約
高雄市路竹區中山路1177號1樓,"22.8547542,120.2612272",路竹_中山二(特約服務中心)2,特約
高雄市橋頭區隆豐路234號1樓,"22.7537005,120.3073737",橋頭_隆豐(特約服務中心),特約
高雄市鳳山區中山西路295、297號,"22.627872,120.34715589999996",鳳山中山西(服務中心),直營
高雄市鳳山區南華路172號,"22.6026236,120.33814",鳳山南華(服務中心),直營
高雄市鳳山區中山路105之1號1樓,"22.6219609,120.3593853",鳳山中山(服務中心),直營
高雄市鳳山區中山西路2-7號,"22.62629,120.355278",鳳山_中山西 (特約服務中心)new,特約
高雄市鳳山區青年路二段362之2號1樓,"22.6419613,120.35135660000003",鳳山_青年(特約服務中心),特約
高雄市鳳山區五甲二路695號,"22.5938901,120.32915179999998",鳳山_五甲二(特約服務中心)1,特約
高雄市鳳山區五甲二路415號1樓,"22.597181,120.334835",高雄_五甲(特約服務中心),特約
高雄市鳳山區中山路6號1樓,"22.6209407,120.36224100000004",鳳山_中山二(特約服務中心),特約
高雄市鳳山區大明路18號1樓,"22.6065716,120.34192659999997",鳳山_大明(特約服務中心),特約
高雄市鳳山區光遠路114號1樓,"22.624474,120.365456",鳳山_光遠(特約服務中心),特約
高雄市鳳山區武慶二路108號1樓,"22.612561,120.332855",鳳山_武慶二(特約服務中心)1,特約
高雄市大寮區鳳屏一路259號,"22.6357886,120.39149180000004",大寮_鳳屏(特約服務中心),特約
高雄市大寮區鳳林三路776之12號1樓,"22.6104469,120.39307080000003",大寮_鳳林二(特約服務中心),特約
高雄市林園區東林西路65號,"22.5040299,120.3939384",高雄林園(服務中心),直營
高雄市林園區林園北路357號1樓,"22.5098283,120.39460910000003",林園_林園北(特約服務中心),特約
高雄市旗山區延平一路568號1樓,"22.8875589,120.48298790000001",旗山_延平(特約服務中心)2,特約
屏東縣屏東市民生路180-7號1樓,"22.6696528,120.49391360000004",屏東民生(服務中心),直營
屏東縣屏東市廣東路118號,"22.673721, 120.499872",屏東陸興(服務中心),直營
屏東縣屏東市自由路456-1號1樓,"22.6830972,120.49152230000004",屏東_自由(特約服務中心)2,特約
屏東縣屏東市博愛路336號1樓,"22.68278,120.480966",屏東_博愛(特約服務中心),特約
屏東縣內埔鄉廣濟路343號1樓,"22.6165509,120.5658403",內埔_廣濟(特約服務中心)4,特約
屏東縣萬丹鄉萬丹路一段370號,"22.591818,120.4889875",萬丹_萬丹(特約服務中心),特約
屏東縣潮州鎮中正路14號1樓,"22.5524443,120.5770177",潮州_中正(特約服務中心)2,特約
屏東縣東港鎮中正路238號,"22.4808252,120.46716630000003",東港_中正(特約服務中心)2,特約
屏東縣枋寮鄉中山路216號1樓,"22.3840888,120.59529410000005",枋寮_中山(特約服務中心),特約
屏東縣恆春鎮省北路50號2樓,"22.010175,120.74417700000004",恆春_省北 (特約服務中心),特約
花蓮縣花蓮市中華路54號1樓,"23.9761486,121.60776950000002",花蓮中華(服務中心),直營
花蓮縣花蓮市中山路467號及467之1號,"23.983636,121.603958",花蓮中山(服務中心),直營
澎湖縣馬公市中華路64號,"23.5704541,119.5718522",馬公_中華(特約服務中心)2,特約
