address,code,name,storeType
彰化縣社頭鄉員集路二段555號,N19,社頭服務中心,直營服務中心
彰化縣埤頭鄉斗苑西路36號,N22,埤頭服務中心,直營服務中心
彰化縣芳苑鄉芳漢路王功段266巷17號,N23,王功服務中心,直營服務中心
彰化縣大城鄉東城村東平路74號,N24,大城服務中心,直營服務中心
彰化縣竹塘鄉竹五路45號,N25,竹塘服務中心,直營服務中心
彰化縣溪州鄉中山路三段270巷2號,N26,溪州服務中心,直營服務中心
雲林縣斗南鎮南昌路147號,P02,斗南服務中心,直營服務中心
雲林縣斗六市文化路38號,P01,斗六服務中心,直營服務中心
雲林縣斗六市民生南路246號,P01,雲科服務中心,直營服務中心
雲林縣斗六市民生南路2號,P01,斗六民生南特約服務中心,特約服務中心
雲林縣斗六市中山路174號,P01,斗六中山特約服務中心,特約服務中心
雲林縣虎尾鎮新生路136號,P03,虎尾服務中心,直營服務中心
雲林縣西螺鎮平和路111號,P04,西螺服務中心,直營服務中心
雲林縣土庫鎮新建路33號,P05,土庫服務中心,直營服務中心
虎尾鎮中正路281號,P03,虎科服務中心,直營服務中心
雲林縣虎尾鎮林森路二段48號,P03,虎尾林森特約服務中心,特約服務中心
雲林鎮西螺鎮中山路95號,P04,西螺中山特約服務中心,特約服務中心
雲林縣北港鎮中正路20號之1,P06,北港服務中心,直營服務中心
雲林縣北港鎮華勝路52-1號,P06,北港華勝特約服務中心,特約服務中心
雲林縣古坑鄉中華路25號,P07,古坑服務中心,直營服務中心
雲林縣莿桐鄉和平路74號,P09,莿桐服務中心,直營服務中心
雲林縣二崙鄉中山路一段170號,P11,二崙服務中心,直營服務中心
雲林縣大埤鄉中正路21號,P08,大埤服務中心,直營服務中心
雲林縣林內鄉中正路382號,P10,林內服務中心,直營服務中心
雲林縣崙背鄉南光路42號,P12,崙背服務中心,直營服務中心
雲林縣麥寮鄉光復南路342號,P13,麥寮服務中心,直營服務中心
雲林縣麥寮鄉中興路60號,P13,麥寮中興特約服務中心,特約服務中心
雲林縣東勢鄉東勢東路349號,P14,東勢厝服務中心,直營服務中心
雲林縣口湖鄉湖東村文明路88號,P19,口湖服務中心,直營服務中心
雲林縣水林鄉水北村新興北路20號,P20,水林服務中心,直營服務中心
雲林縣褒忠鄉中正路67號,P15,褒忠服務中心,直營服務中心
雲林縣元長鄉長南村仁愛路1號,P17,元長服務中心,直營服務中心
雲林縣台西鄉民生路78號,P16,台西服務中心,直營服務中心
雲林縣四湖鄉中山東路5號,P18,四湖服務中心,直營服務中心
嘉義縣布袋鎮自由路8號,Q03,布袋服務中心,直營服務中心
嘉義縣布袋鎮中安里頂厝11號之1,Q03,過溝服務中心,直營服務中心
嘉義縣朴子市山通路21號,Q02,朴子服務中心,直營服務中心
