address,city,county,lonlat,name,storeType
延平一路525號,高雄市,旗山區,"120.4832262,22.8875298",旗山延平加盟服務中心,加盟
中正路一段37號1樓,高雄市,美濃區,"120.54161,22.901141",美濃中正加盟服務中心,加盟
廣東路413號,屏東縣,屏東市,"120.50046859999998,22.6815191",屏東廣東店,直營
民生路305號,屏東縣,屏東市,"120.49093800000003,22.670316",屏東民生店,直營
自由路667號1樓,屏東縣,屏東市,"120.481259,22.682873",屏東自由加盟服務中心,加盟
和平路212號,屏東縣,屏東市,"120.4784739,22.6718088",屏東和平加盟服務中心,加盟
民生路48號,屏東縣,屏東市,"120.497689,22.667801",屏東民生加盟服務中心,加盟
廣濟路267號1樓,屏東縣,內埔鄉,"120.566144,22.614972",內埔廣濟加盟服務中心,加盟
永春里介壽路24號1樓,屏東縣,潮州鎮,"120.536696,22.54545",潮州介壽加盟服務中心,加盟
中正路265號1樓,屏東縣,東港鎮,"120.4524775,22.4702884",屏東東港三加盟服務中心,加盟
枋寮村中山路246-3號,屏東縣,枋寮鄉,"120.5935928,22.3680639",屏東枋寮加盟服務中心,加盟
省北路66號1樓,屏東縣,恆春鎮,"120.7442529,22.0106675",屏東恆春加盟服務中心,加盟
新生路227號1樓,臺東縣,臺東市,"121.1439607,22.7561736",臺東新生加盟服務中心,加盟
中華路一段521號1樓,臺東縣,臺東市,"121.1505098,22.7515084",臺東中華加盟服務中心,加盟
更生路123號1樓,臺東縣,臺東市,"121.1477458,22.7589246",臺東更生加盟服務中心,加盟
泰和村太麻里街266號,臺東縣,太麻里鄉,"121.0047872,22.6095062",臺東太麻里加盟服務中心,加盟
中華路63號,花蓮縣,花蓮市,"121.60831299999995,23.9760485",花蓮中華店,直營
中正路572之1號,花蓮縣,花蓮市,"121.6094684,23.978505",花蓮中正加盟服務中心,加盟
中山路458-1號,花蓮縣,花蓮市,"121.6006838,23.9883256",花蓮中山二加盟服務中心,加盟
國華里中山路375號1樓,花蓮縣,花蓮市,"121.6055614,23.981688",花蓮中山加盟服務中心,加盟
建國路一段40-1號1樓,花蓮縣,吉安鄉,"121.5934449,23.9850124",花蓮建國加盟服務中心,加盟
中華路2段255號,花蓮縣,吉安鄉,"121.5797082,23.9732234",花蓮吉安加盟服務中心,加盟
中山路2段150號,花蓮縣,玉里鎮,"121.3143393,23.3353934",花蓮玉里加盟服務中心,加盟
市港路60號,金門縣,金湖鎮,"118.4106014,24.4369432",金門市港加盟服務中心,加盟
西門里民生路59號,金門縣,金城鎮,"118.3188791,24.4360283",金門民生加盟服務中心,加盟
中華路226號1樓,澎湖縣,馬公市,"119.5761729,23.5721374",澎湖馬公加盟服務中心,加盟
建國路54號,澎湖縣,馬公市,"119.5665434,23.5674122",澎湖建國加盟服務中心,加盟
